Pk,Tm,Player,Player2,College,Year,Pro_height,Pro_weight,DOB,PreNBA_height,PreNBA_weight
1,CLE,lebron-james,lebron-james,,2003,81,250,12/30/1984,,
2,DET,darko-miličić,darko-milicic,,2003,84,250,6/20/1985,,
3,DEN,carmelo-anthony,carmelo-anthony,Syracuse,2003,79,238,5/29/1984,80,230
4,TOR,chris-bosh,chris-bosh,Georgia Tech,2003,83,235,3/24/1984,82,228
5,MIA,dwyane-wade,dwyane-wade,Marquette,2003,76,220,1/17/1982,76,212
6,LAC,chris-kaman,chris-kaman,Central Michigan University,2003,84,265,4/28/1982,84,268
7,CHI,kirk-hinrich,kirk-hinrich,Kansas,2003,76,190,1/2/1981,75,190
8,MIL,t.j.-ford,t.j.-ford,Texas,2003,72,165,3/24/1983,72,165
9,NYK,mike-sweetney,mike-sweetney,Georgetown,2003,80,275,10/25/1982,80,275
10,WAS,jarvis-hayes,jarvis-hayes,Georgia,2003,79,220,8/9/1981,79,220
11,GSW,mickaël-piétrus,mickael-pietrus,,2003,78,215,2/7/1982,,
12,SEA,nick-collison,nick-collison,Kansas,2003,82,255,10/26/1980,81,255
13,MEM,marcus-banks,marcus-banks,UNLV,2003,74,200,11/19/1981,74,200
14,SEA,luke-ridnour,luke-ridnour,Oregon,2003,74,175,2/13/1981,74,175
15,ORL,reece-gaines,reece-gaines,Louisville,2003,78,205,1/7/1981,78,205
16,BOS,troy-bell,troy-bell,Boston College,2003,73,180,11/10/1980,73,180
17,PHO,žarko-čabarkapa,zarko-cabarkapa,,2003,83,235,5/21/1981,,
18,NOH,david-west,david-west,Xavier,2003,81,250,8/29/1980,81,240
19,UTA,sasha-pavlović,sasha-pavlovic,,2003,80,220,11/15/1983,,
20,BOS,dahntay-jones,dahntay-jones,Duke,2003,78,225,12/27/1980,78,210
21,ATL,boris-diaw,boris-diaw,,2003,80,250,4/16/1982,,
22,NJN,zoran-planinić,zoran-planinic,,2003,79,195,9/12/1982,,
23,POR,travis-outlaw,travis-outlaw,,2003,81,210,9/18/1984,,
24,LAL,brian-cook,brian-cook,Illinois,2003,81,234,12/4/1980,81,234
25,DET,carlos-delfino,carlos-delfino,,2003,78,230,8/29/1982,,
26,MIN,ndudi-ebi,ndudi-ebi,,2003,81,200,6/18/1984,,
27,MEM,kendrick-perkins,kendrick-perkins,,2003,82,270,11/10/1984,,
28,SAS,leandro-barbosa,leandro-barbosa,,2003,75,194,11/28/1982,,
29,DAL,josh-howard,josh-howard,Wake Forest,2003,79,210,4/28/1980,79,210
30,NYK,maciej-lampe,maciej-lampe,,2003,83,275,2/5/1985,,
31,CLE,jason-kapono,jason-kapono,UCLA,2003,80,213,2/4/1981,80,213
32,LAL,luke-walton,luke-walton,Arizona,2003,80,235,3/28/1980,80,235
33,MIA,jerome-beasley,jerome-beasley,University of North Dakota,2003,82,237,5/17/1980,,
34,LAC,sofoklis-schortsanitis,sofoklis-schortsanitis,,2003,82,345,6/22/1985,,
35,MIL,szymon-szewczyk,szymon-szewczyk,,2003,82,242,12/21/1982,,
36,CHI,mario-austin,mario-austin,Mississippi State,2003,81,264,2/26/1982,81,260
37,ATL,travis-hansen,travis-hansen,BYU,2003,78,205,4/15/1978,78,205
38,WAS,steve-blake,steve-blake,Maryland,2003,75,172,2/26/1980,75,172
39,NYK,slavko-vraneš,slavko-vranes,,2003,89,275,1/30/1983,,
40,GSW,derrick-zimmerman,derrick-zimmerman,Mississippi State,2003,75,195,12/2/1981,75,195
41,SEA,willie-green,willie-green,Detroit Mercy,2003,76,200,7/28/1981,76,200
42,ORL,zaza-pachulia,zaza-pachulia,,2003,83,270,2/10/1984,,
43,MIL,keith-bogans,keith-bogans,Kentucky,2003,77,215,5/12/1980,77,215
44,HOU,malick-badiane,malick-badiane,,2003,,,,,
45,CHI,matt-bonner,matt-bonner,Florida,2003,82,235,4/5/1980,82,240
46,DEN,sani-bečirovič,sani-becirovic,,2003,77,210,5/19/1981,,
47,UTA,mo-williams,mo-williams,Alabama,2003,73,198,12/19/1982,73,185
48,NOH,james-lang,james-lang,,2003,82,285,10/17/1983,,
49,IND,james-jones,james-jones,Miami (FL),2003,80,218,10/4/1980,80,225
50,PHI,paccelis-morlende,paccelis-morlende,,2003,74,185,4/19/1981,,
51,NJN,kyle-korver,kyle-korver,Creighton,2003,79,212,3/17/1981,79,210
52,TOR,remon-van-de-hare,remon-van-de-hare,,2003,,,,,
53,CHI,tommy-smith,tommy-smith,Arizona State,2003,,,,,
54,POR,nedžad-sinanović,nedzad-sinanovic,,2003,88,250,1/29/1983,,
55,MIN,rick-rickert,rick-rickert,Minnesota,2003,,,,,
56,BOS,brandon-hunter,brandon-hunter,Ohio University,2003,79,260,11/24/1980,79,260
57,DAL,xue-yuyang,xue-yuyang,,2003,84,265,11/4/1982,,
58,DET,andreas-glyniadakis,andreas-glyniadakis,,2003,85,280,8/21/1981,,
1,ORL,dwight-howard,dwight-howard,,2004,82,265,12/8/1985,,
2,CHA,emeka-okafor,emeka-okafor,UConn,2004,82,252,9/28/1982,82,252
3,CHI,ben-gordon,ben-gordon,UConn,2004,75,200,4/4/1983,75,200
4,LAC,shaun-livingston,shaun-livingston,,2004,79,192,9/11/1985,,
5,WAS,devin-harris,devin-harris,Wisconsin,2004,75,185,2/27/1983,75,185
6,ATL,josh-childress,josh-childress,Stanford,2004,80,210,6/20/1983,80,210
7,PHO,luol-deng,luol-deng,Duke,2004,81,237,4/16/1985,80,220
8,TOR,rafael-araújo,rafael-araujo,BYU,2004,83,280,8/12/1980,83,280
9,PHI,andre-iguodala,andre-iguodala,Arizona,2004,78,215,1/28/1984,78,207
10,CLE,luke-jackson,luke-jackson,Oregon,2004,79,215,11/6/1981,79,215
11,GSW,andris-biedriņš,andris-biedrins,,2004,83,240,4/2/1986,,
12,SEA,robert-swift,robert-swift,,2004,84,245,12/3/1985,,
13,POR,sebastian-telfair,sebastian-telfair,,2004,72,165,6/9/1985,,
14,UTA,kris-humphries,kris-humphries,Minnesota,2004,81,235,2/6/1985,81,235
15,BOS,al-jefferson,al-jefferson,,2004,82,289,1/4/1985,,
16,UTA,kirk-snyder,kirk-snyder,Nevada,2004,78,225,6/5/1983,78,225
17,ATL,josh-smith,josh-smith,,2004,81,225,12/5/1985,,
18,NOH,j.r.-smith,j.r.-smith,,2004,78,225,9/9/1985,,
19,MIA,dorell-wright,dorell-wright,,2004,81,205,12/2/1985,,
20,DEN,jameer-nelson,jameer-nelson,Saint Joseph's,2004,72,190,2/9/1982,72,190
21,UTA,pavel-podkolzin,pavel-podkolzin,,2004,89,260,1/15/1985,,
22,NJN,viktor-khryapa,viktor-khryapa,,2004,81,210,8/3/1982,,
23,POR,sergei-monia,sergei-monia,,2004,80,220,4/15/1983,,
24,BOS,delonte-west,delonte-west,Saint Joseph's,2004,76,180,7/26/1983,76,180
25,BOS,tony-allen,tony-allen,Oklahoma State,2004,76,213,1/11/1982,76,213
26,SAC,kevin-martin,kevin-martin,Western Carolina University,2004,79,199,2/1/1983,79,185
27,LAL,sasha-vujačić,sasha-vujacic,,2004,79,195,3/8/1984,,
28,SAS,beno-udrih,beno-udrih,,2004,75,205,7/5/1982,,
29,IND,david-harrison,david-harrison,Colorado,2004,84,280,8/15/1982,84,280
30,ORL,anderson-varejão,anderson-varejao,,2004,82,273,9/28/1982,,
31,CHI,jackson-vroman,jackson-vroman,Iowa State,2004,82,220,6/6/1981,82,220
32,WAS,peter-john-ramos,peter-john-ramos,,2004,87,275,5/13/1985,,
33,LAC,lionel-chalmers,lionel-chalmers,Xavier,2004,72,180,11/10/1980,72,180
34,ATL,donta-smith,donta-smith,Southeastern Illinois College,2004,79,215,11/27/1983,,
35,SEA,andre-emmett,andre-emmett,Texas Tech,2004,77,230,8/27/1982,77,230
36,ORL,antonio-burks,antonio-burks,Memphis,2004,73,200,2/25/1980,73,200
37,ATL,royal-ivey,royal-ivey,Texas,2004,75,200,12/20/1981,75,200
38,CHI,chris-duhon,chris-duhon,Duke,2004,73,185,8/31/1982,73,185
39,TOR,albert-miralles,albert-miralles,,2004,82,243,5/14/1982,,
40,BOS,justin-reed,justin-reed,Ole Miss,2004,80,240,1/16/1982,80,240
41,SEA,david-young,david-young,NC Central,2004,,,,,
42,ATL,viktor-sanikidze,viktor-sanikidze,,2004,80,220,4/1/1986,,
43,NYK,trevor-ariza,trevor-ariza,UCLA,2004,80,215,6/30/1985,80,200
